Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../dataset/IMG/robocam_2017_08_24_15_00_43_309.jpg;0;0;0;1.216903;113.5047;10.44845;0.6121565;89.37751;0.01125991
../dataset/IMG/robocam_2017_08_24_15_00_43_359.jpg;0;0;0;1.213092;113.5055;10.51888;0.4771385;89.37753;0.02224305
../dataset/IMG/robocam_2017_08_24_15_00_43_409.jpg;0;0.1001911;0;1.210575;113.506;10.56569;0.384161;89.37753;0.0287938
../dataset/IMG/robocam_2017_08_24_15_00_43_459.jpg;0;0.250599;0;1.214048;113.5068;10.6363;0.2557687;89.37759;0.03738033
../dataset/IMG/robocam_2017_08_24_15_00_43_509.jpg;0;0.4001489;0;1.220893;113.5073;10.68403;0.1870317;89.37757;0.04225323
../dataset/IMG/robocam_2017_08_24_15_00_43_559.jpg;0;0.5501609;0;1.238725;113.5081;10.75723;0.1221499;89.37754;0.04827505
../dataset/IMG/robocam_2017_08_24_15_00_43_609.jpg;0;0.700083;0;1.255355;113.5087;10.80746;0.1112143;89.3775;0.0514384
../dataset/IMG/robocam_2017_08_24_15_00_43_659.jpg;0;0.8498579;0;1.28782;113.5096;10.88544;0.1518139;89.37742;0.05493661
../dataset/IMG/robocam_2017_08_24_15_00_43_709.jpg;0;0.999684;0;1.314191;113.5102;10.93952;0.2210733;89.37735;0.0564661
../dataset/IMG/robocam_2017_08_24_15_00_43_759.jpg;0;1;0;1.359103;113.5113;11.02377;0.3763088;89.3729;0.04671675
../dataset/IMG/robocam_2017_08_24_15_00_43_809.jpg;0;0.8504139;0;1.387995;113.5121;11.0817;0.4999923;89.36771;0.02979145
../dataset/IMG/robocam_2017_08_24_15_00_43_859.jpg;0;0.7005129;0;1.424009;113.5133;11.17058;0.6983309;89.36116;-0.0007074227
../dataset/IMG/robocam_2017_08_24_15_00_43_909.jpg;0;0.5505009;0;1.443362;113.5138;11.23069;0.8249578;89.36496;-0.001291063
../dataset/IMG/robocam_2017_08_24_15_00_43_959.jpg;0;0.4002429;0;1.46474;113.5147;11.3215;0.9929006;89.36741;-0.0009944504
../dataset/IMG/robocam_2017_08_24_15_00_44_009.jpg;0;0.2504769;0;1.474187;113.5154;11.38211;1.082365;89.3664;-0.0007904011
../dataset/IMG/robocam_2017_08_24_15_00_44_059.jpg;0;0.1003599;0;1.480648;113.5166;11.47254;1.172997;89.36158;-0.0005209544
../dataset/IMG/robocam_2017_08_24_15_00_44_109.jpg;0;0;0;1.480088;113.5175;11.53221;1.200293;89.3568;-0.0004301566
../dataset/IMG/robocam_2017_08_24_15_00_44_159.jpg;0;0.09994197;0;1.476668;113.5188;11.62078;1.195827;89.34864;-0.0003479731
../dataset/IMG/robocam_2017_08_24_15_00_44_209.jpg;0;0.249507;0;1.478411;113.5197;11.6796;1.173694;89.34291;-0.0003238319
../dataset/IMG/robocam_2017_08_24_15_00_44_259.jpg;0;0.3997289;0;1.488567;113.5211;11.76818;1.129184;89.33426;-0.0003173448
../dataset/IMG/robocam_2017_08_24_15_00_44_309.jpg;0;0.549597;0;1.500104;113.522;11.82786;1.101104;89.32854;-0.0003368275
../dataset/IMG/robocam_2017_08_24_15_00_44_359.jpg;0;0.6995219;0;1.524995;113.5234;11.91892;1.07379;89.32013;-0.0003718875
../dataset/IMG/robocam_2017_08_24_15_00_44_409.jpg;0;0.849783;0;1.546395;113.5243;11.98101;1.071838;89.31458;-0.0004258179
../dataset/IMG/robocam_2017_08_24_15_00_44_459.jpg;0;0.999513;0;1.586041;113.5258;12.07672;1.101035;89.30622;-0.0005000443
../dataset/IMG/robocam_2017_08_24_15_00_44_509.jpg;0;1;0;1.615899;113.5268;12.14239;1.142454;89.30052;-0.0005579786
../dataset/IMG/robocam_2017_08_24_15_00_44_559.jpg;0;0.850015;0;1.658763;113.5284;12.24339;1.226488;89.29156;-0.00060188
../dataset/IMG/robocam_2017_08_24_15_00_44_610.jpg;0;0.699994;0;1.682668;113.5295;12.31184;1.279703;89.28486;-0.0009516363
../dataset/IMG/robocam_2017_08_24_15_00_44_659.jpg;0;0.549898;0;1.711353;113.5312;12.41493;1.301935;89.27454;-0.001085043
../dataset/IMG/robocam_2017_08_24_15_00_44_709.jpg;0;0.4001949;0;1.726714;113.5323;12.48362;1.271909;89.26746;-0.001001208
../dataset/IMG/robocam_2017_08_24_15_00_44_759.jpg;0;0.250387;0;1.741048;113.5341;12.58693;1.205329;89.257;-0.0003546138
../dataset/IMG/robocam_2017_08_24_15_00_44_809.jpg;0;0.100369;0;1.744664;113.5353;12.65575;1.148501;89.24989;-0.0003008764
../dataset/IMG/robocam_2017_08_24_15_00_44_859.jpg;0;0.250441;0;1.746641;113.537;12.75882;1.047395;89.23958;-0.0002472167
../dataset/IMG/robocam_2017_08_24_15_00_44_909.jpg;0;0.400414;0;1.752492;113.5382;12.82785;0.9797035;89.23301;-0.0002400418
../dataset/IMG/robocam_2017_08_24_15_00_44_959.jpg;0;0.550423;0;1.76884;113.54;12.93248;0.8922585;89.22374;-0.0002708821
../dataset/IMG/robocam_2017_08_24_15_00_45_009.jpg;0;0.7005251;0;1.784489;113.5412;13.00333;0.8507075;89.21799;-0.0003070305
../dataset/IMG/robocam_2017_08_24_15_00_45_059.jpg;0;0.8504021;0;1.815576;113.543;13.1118;0.822719;89.20992;-0.0003748224
../dataset/IMG/robocam_2017_08_24_15_00_45_109.jpg;0;1;0;1.841091;113.5442;13.18589;0.8314795;89.20477;-0.0004318765
../dataset/IMG/robocam_2017_08_24_15_00_45_159.jpg;0;1;0;1.884802;113.5461;13.29994;0.8858306;89.19709;-0.000521156
../dataset/IMG/robocam_2017_08_24_15_00_45_210.jpg;0;1;0;1.91406;113.5474;13.37783;0.9448771;89.19183;-0.0005605574
../dataset/IMG/robocam_2017_08_24_15_00_45_259.jpg;0;0.9025301;0;1.957361;113.5494;13.49725;1.058207;89.18336;-0.0006397265
../dataset/IMG/robocam_2017_08_24_15_00_45_309.jpg;0;0.75223;0;1.98234;113.5508;13.5782;1.139764;89.17707;-0.0006565375
../dataset/IMG/robocam_2017_08_24_15_00_45_359.jpg;0;0.6028301;0;2.01214;113.5529;13.70094;1.254778;89.16666;-0.0006640398
../dataset/IMG/robocam_2017_08_24_15_00_45_409.jpg;0;0.451852;0;2.027189;113.5544;13.78316;1.311389;89.15874;-0.001028641
../dataset/IMG/robocam_2017_08_24_15_00_45_459.jpg;0;0.302101;0;2.043051;113.5567;13.90582;1.314492;89.14622;-0.001128711
../dataset/IMG/robocam_2017_08_24_15_00_45_509.jpg;0;0.151915;0;2.049391;113.5583;13.98713;1.274149;89.14042;-0.0005842107
../dataset/IMG/robocam_2017_08_24_15_00_45_559.jpg;1.506913;0.002557099;0;2.049034;113.5603;14.1085;1.182645;89.17863;0.0009062753
../dataset/IMG/robocam_2017_08_24_15_00_45_609.jpg;3.756375;0;0;2.045193;113.5606;14.18881;1.097733;89.36192;0.01973888
../dataset/IMG/robocam_2017_08_24_15_00_45_660.jpg;3.027914;0;0;2.038366;113.5597;14.3084;0.9405862;89.77847;0.06969907
../dataset/IMG/robocam_2017_08_24_15_00_45_709.jpg;0.7781383;0;0;2.03434;113.5595;14.38772;0.8240485;89.9344;0.09395063
../dataset/IMG/robocam_2017_08_24_15_00_45_759.jpg;0;0.04955703;0;2.027987;113.5598;14.50619;0.6392867;89.98686;0.119428
../dataset/IMG/robocam_2017_08_24_15_00_45_809.jpg;0;0.200037;0;2.025994;113.56;14.58512;0.5174668;89.99053;0.136746
../dataset/IMG/robocam_2017_08_24_15_00_45_860.jpg;0;0.3512819;0;2.031132;113.5603;14.70415;0.353525;89.98945;0.1625198
../dataset/IMG/robocam_2017_08_24_15_00_45_910.jpg;0;0.4997161;0;2.039284;113.5604;14.78429;0.2650931;89.98818;0.1781632
../dataset/IMG/robocam_2017_08_24_15_00_45_960.jpg;0;0.650058;0;2.059066;113.5606;14.90628;0.1748305;89.9859;0.1967293
../dataset/IMG/robocam_2017_08_24_15_00_46_010.jpg;0;0.7999531;0;2.076942;113.5608;14.9891;0.1481002;89.98357;0.2041856
../dataset/IMG/robocam_2017_08_24_15_00_46_060.jpg;0;0.9517141;0;2.111452;113.561;15.11607;0.1631615;89.97868;0.2054857
../dataset/IMG/robocam_2017_08_24_15_00_46_109.jpg;0;1;0;2.138569;113.5613;15.20272;0.2104852;89.97459;0.1987595
../dataset/IMG/robocam_2017_08_24_15_00_46_160.jpg;0;1;0;2.181032;113.5616;15.33568;0.3302822;89.96707;0.1763739
../dataset/IMG/robocam_2017_08_24_15_00_46_210.jpg;0;0.9504431;0;2.209363;113.5619;15.42618;0.4366167;89.96095;0.1531557
../dataset/IMG/robocam_2017_08_24_15_00_46_260.jpg;0;0.7995131;0;2.247578;113.5624;15.56421;0.6191757;89.95003;0.1069678
../dataset/IMG/robocam_2017_08_24_15_00_46_310.jpg;0;0.6497622;0;2.268368;113.5627;15.65732;0.7447519;89.94158;0.06988556
../dataset/IMG/robocam_2017_08_24_15_00_46_360.jpg;0;0.499312;0;2.291813;113.5633;15.79793;0.9222371;89.92725;0.007710348
../dataset/IMG/robocam_2017_08_24_15_00_46_410.jpg;0;0.3488621;0;2.30286;113.5632;15.89184;1.020111;89.93088;-0.002364299
../dataset/IMG/robocam_2017_08_24_15_00_46_460.jpg;0;0.1998522;0;2.311474;113.5629;16.03242;1.126873;89.94219;-0.002437059
